timestamp,temperature,humidity,latitude,longitude,speed_kmph,altitude,satellites,heading,current,battery_voltage,battery_percent
1789009398.1960697,30.0,52.0,1.458921,102.149738,0.54,32.6,7,238.0,-0.11,4.2,0.0
1789009399.1707582,30.0,52.0,1.458921,102.149738,0.3,32.8,7,238.0,-0.15,4.2,0.0
1789009400.1686466,30.0,52.0,1.458921,102.149738,1.17,32.8,7,238.0,-0.13,4.2,0.0
1789009401.1687582,30.0,52.0,1.458921,102.149738,2.2,32.7,7,238.0,-0.17,4.2,0.0
1789009402.1805732,30.0,52.0,1.458921,102.149738,2.98,32.7,7,238.0,-0.27,4.19,0.0
1789009403.2054567,30.0,52.0,1.458921,102.149738,1.0,32.8,7,238.0,-0.15,4.2,0.0
1789009404.185025,30.0,52.0,1.458921,102.149738,0.85,32.9,7,238.0,-0.18,4.2,0.0
1789009405.1928275,30.0,52.0,1.458921,102.149738,1.24,32.9,7,238.0,-0.17,4.2,0.0
1789009406.1969304,30.0,52.0,1.458921,102.149738,1.28,33.2,7,238.0,-0.15,4.2,0.0
1789009407.2064347,30.0,52.0,1.458921,102.149738,1.26,33.2,7,238.0,-0.14,4.2,0.0
1789009408.227562,30.0,52.0,1.458921,102.149738,1.41,33.0,7,238.0,-0.21,4.2,0.0
1789009409.210396,30.0,52.0,1.458921,102.149738,0.83,32.8,7,238.0,-0.22,4.2,0.0
1789009410.195585,30.0,52.0,1.458921,102.149738,0.19,32.6,7,238.0,-0.2,4.2,0.0
1789009411.217026,30.0,52.0,1.458921,102.149738,0.8,32.7,7,238.0,-0.16,4.2,0.0
1789009412.2010128,30.0,52.0,1.458911,102.149732,1.0,32.7,7,238.0,-0.18,4.2,0.0
1789009413.2470975,30.0,52.0,1.458911,102.149732,0.31,32.9,7,238.1,-1.57,4.09,0.0
1789009414.22038,30.0,52.0,1.458911,102.149732,0.17,33.0,7,238.1,-1.48,4.1,0.0
1789009415.2194803,30.0,52.0,1.458911,102.149732,0.28,33.0,7,238.0,-2.0,4.05,0.0
1789009416.2229478,30.0,52.0,1.458911,102.149732,0.39,33.2,7,238.1,-1.28,4.12,0.0
1789009417.2192442,30.0,52.0,1.458911,102.149732,0.65,33.2,7,238.0,-1.6,4.09,0.0
1789009418.235462,30.0,52.0,1.458911,102.149732,0.48,33.1,7,238.0,-1.47,4.09,0.0
1789009419.215695,30.0,52.0,1.458911,102.149732,0.52,33.1,7,238.0,-1.44,4.1,0.0
1789009420.2283244,30.0,52.0,1.458911,102.149732,0.41,33.1,7,238.0,-1.39,4.11,0.0
1789009421.2249854,30.0,52.0,1.458897,102.149728,0.63,33.3,7,238.0,-1.2,4.11,0.0
1789009422.2242138,30.0,52.0,1.458897,102.149728,0.33,33.4,7,238.0,-1.62,4.11,0.0
1789009423.2626016,30.0,52.0,1.458919,102.149726,2.06,33.6,7,238.0,-1.55,4.1,0.0
1789009424.2301173,30.0,52.0,1.458919,102.149726,1.46,33.9,7,238.1,-1.28,4.11,0.0
1789009425.2257047,30.0,52.0,1.458919,102.149726,1.44,34.1,7,238.0,-1.21,4.1,0.0
1789009426.229498,30.0,52.0,1.458919,102.149726,0.94,34.4,7,238.1,-1.19,4.11,0.0
1789009427.2471523,30.0,52.0,1.458919,102.149726,0.93,34.6,7,238.1,-1.15,4.11,0.0
1789009428.2616549,30.0,52.0,1.458919,102.149726,0.39,34.6,6,238.1,-1.25,4.11,0.0
1789009429.2321582,30.0,52.0,1.458919,102.149726,0.57,34.9,6,238.1,-1.08,4.11,0.0
1789009430.2474377,30.0,52.0,1.458919,102.149726,0.35,34.9,6,238.1,-2.37,4.11,0.0
1789009431.240119,30.0,52.0,1.458919,102.149726,0.63,34.9,7,238.1,-1.09,4.12,0.0
1789009432.2421398,30.0,52.0,1.458919,102.149726,1.09,34.9,6,238.1,-1.01,4.12,0.0
1789009433.2806294,30.0,52.0,1.458919,102.149726,0.48,35.0,7,238.1,-1.03,4.11,0.0
1789009434.2585588,30.0,52.0,1.458919,102.149726,0.65,35.3,7,238.1,-0.96,4.12,0.0
1789009435.2580395,30.0,52.0,1.458919,102.149726,0.48,35.5,7,238.1,-1.06,4.1,0.0
1789009436.2577438,30.0,52.0,1.458919,102.149726,0.44,35.4,7,238.1,-0.92,4.12,0.0
1789009437.2580776,30.0,52.0,1.458919,102.149726,0.85,35.7,7,238.1,-0.95,4.12,0.0
1789009438.2921548,30.0,52.0,1.458919,102.149726,0.96,36.3,7,238.1,-0.97,4.12,0.0
1789009439.2683978,30.0,52.0,1.458919,102.149726,1.17,36.8,7,238.1,-0.91,4.12,0.0
1789009440.2687354,30.0,52.0,1.458919,102.149726,1.02,37.2,7,238.1,-0.91,4.12,0.0
1789009441.2579827,30.0,52.0,1.458908,102.149727,1.07,37.6,7,238.1,-0.93,4.12,0.0
1789009442.2576904,30.0,52.0,1.458908,102.149727,0.59,37.7,7,238.1,-0.88,4.12,0.0
1789009443.2978437,30.0,52.0,1.458908,102.149727,0.43,38.1,7,238.1,-0.95,4.12,0.0
1789009444.2793329,30.0,52.0,1.458908,102.149727,0.48,39.0,7,238.1,-0.89,4.12,0.0
1789009445.2763479,30.0,52.0,1.458908,102.149727,0.46,39.4,7,238.1,-0.88,4.12,0.0
1789009446.2729917,30.0,52.0,1.458908,102.149727,0.54,39.9,7,238.1,-0.93,4.11,0.0
1789009447.2737298,30.0,52.0,1.458908,102.149727,0.89,40.1,7,238.1,-0.93,4.12,0.0
1789009448.310162,30.0,52.0,1.458908,102.149727,0.8,40.8,7,238.1,-0.9,4.12,0.0
1789009449.2871099,30.0,52.0,1.458908,102.149727,0.33,40.9,7,238.1,-0.91,4.12,0.0
1789009450.2915957,30.0,52.0,1.458908,102.149727,0.09,41.5,7,238.1,-0.91,4.12,0.0
1789009451.2884173,30.0,52.0,1.458908,102.149727,0.17,41.6,7,238.3,-1.26,4.12,0.0
1789009452.2771494,30.0,52.0,1.458908,102.149727,0.13,41.8,7,237.8,-1.28,4.12,0.0
1789009453.3178124,30.0,52.0,1.458908,102.149727,0.33,42.0,7,237.7,-1.29,4.12,0.0
1789009454.3008852,30.0,52.0,1.458898,102.149719,0.46,41.7,7,237.7,-1.35,4.12,0.0
1789009455.299982,30.0,52.0,1.458898,102.149719,0.56,41.8,7,237.7,-1.33,4.12,0.0
1789009456.297592,30.0,52.0,1.458898,102.149719,0.43,41.9,7,237.8,-1.35,4.12,0.0
1789009457.309694,30.0,52.0,1.458898,102.149719,0.41,41.8,7,237.8,-1.35,4.12,0.0
